text,label
Which brush is best for long-haired dogs?,Foder_Tillbehor
Do you sell dog treats?,Foder_Tillbehor
I need a new rain cover for my horse.,Foder_Tillbehor
Do you have saddles for sale?,Foder_Tillbehor
Which saddle pad colors do you have in stock?,Foder_Tillbehor
Do you sell bits and bridles?,Foder_Tillbehor
I am looking for a new halter.,Foder_Tillbehor
Do you have protective equipment like leg guards?,Foder_Tillbehor
How much does a riding crop cost?,Foder_Tillbehor
Do you sell equipment for eventing?,Foder_Tillbehor
Can I buy a saddle girth?,Foder_Tillbehor
Where can I find hoof picks?,Foder_Tillbehor
Is the product in stock?,Foder_Tillbehor
How much does X-feed cost?,Foder_Tillbehor
Can I return an unused dog coat?,Foder_Tillbehor
What is the delivery time for accessories?,Foder_Tillbehor
Do you have a sale on any equipment?,Foder_Tillbehor
Are there size guides for covers?,Foder_Tillbehor
Are the products with a hidden defect guarantee?,Foder_Tillbehor
Do I get a discount if I buy a lot of feed?,Foder_Tillbehor
Can I order the products to your store?,Foder_Tillbehor
How is the feed packed for shipping?,Foder_Tillbehor
Can I get the same feed you give your puppies?,Foder_Tillbehor
I need a small bed for my Sheltie.,Foder_Tillbehor
What is the best accessory for a jumping horse?,Foder_Tillbehor
Do you sell books on horse care?,Foder_Tillbehor
Do you have equipment for dog training?,Foder_Tillbehor
I want to buy a large bag of the usual dog food.,Foder_Tillbehor
What type of halters do you have for sale?,Foder_Tillbehor
Do you have any affordable covers?,Foder_Tillbehor
I am looking for transport protection for horses.,Foder_Tillbehor
Which products should I buy for a new horse?,Foder_Tillbehor
How many inhabitants does Stockholm have?,Out_of_Scope
What is the national day of Sweden?,Out_of_Scope
Which is the fastest car in the world?,Out_of_Scope
Who won the last football World Cup?,Out_of_Scope
When was Google founded?,Out_of_Scope
How long does it take to go by train to Gothenburg?,Out_of_Scope
How does gravity work?,Out_of_Scope
Can you explain quantum physics?,Out_of_Scope
Who is the prime minister of Norway?,Out_of_Scope
What is a solar eclipse?,Out_of_Scope
Can you recommend a good restaurant in Malmo?,Out_of_Scope
I have problems with my car.,Out_of_Scope
Help me choose clothes.,Out_of_Scope
What is the best recipe for lasagna?,Out_of_Scope
Do you have any funny joke?,Out_of_Scope
I have lost my wallet.,Out_of_Scope
Help me with my homework.,Out_of_Scope
How long should I boil the eggs?,Out_of_Scope
Can you sing a song?,Out_of_Scope
I have a headache.,Out_of_Scope
When does PostNord deliver my package?,Out_of_Scope
What is the interest rate at SEB?,Out_of_Scope
Can I buy shares via you?,Out_of_Scope
Do you have the same prices as Granngarden?,Out_of_Scope
What do tickets to Liseberg cost?,Out_of_Scope
How do I log in to my bank?,Out_of_Scope
Do you sell Apple products?,Out_of_Scope
I have a question for my mobile operator.,Out_of_Scope
Can you order goods from IKEA?,Out_of_Scope
What is the price of milk at ICA?,Out_of_Scope
Do you sell garden furniture?,Out_of_Scope
Do you have used cars?,Out_of_Scope
Can I rent an apartment with you?,Out_of_Scope
I am looking for electronics.,Out_of_Scope
What is your selection of fish?,Out_of_Scope
Do you have washing machines for sale?,Out_of_Scope
Do you sell building materials?,Out_of_Scope
What does a pair of shoes cost?,Out_of_Scope
Do you have a towing service?,Out_of_Scope
Can you help me with my CV?,Out_of_Scope
What do you think of my idea?,Out_of_Scope
Are you happy?,Out_of_Scope
What is the meaning of life?,Out_of_Scope
What is your favorite color?,Out_of_Scope
Can you speak French?,Out_of_Scope
What is your opinion on politics?,Out_of_Scope
What is your name?,Out_of_Scope
What is your personality?,Out_of_Scope
Are you an AI?,Out_of_Scope
How old are you?,Out_of_Scope
